House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Davies Trafficway,Paula,Houghton,42,Head,Divorced,Female,Analytical chemist,None,Catholic
2,Davies Trafficway,Ashleigh,Smith,42,Head,Single,Female,Unemployed,None,None
3,Davies Trafficway,Douglas,Gibson,74,Head,Widowed,Male,"Retired Designer, graphic",None,Catholic
4,Davies Trafficway,Carly,Johnson,26,Head,Single,Female,Unemployed,None,None
5,Davies Trafficway,Lauren,Jenkins,32,Head,Divorced,Female,General practice doctor,None,Muslim
6,Davies Trafficway,Dean,Harvey,22,Head,Married,Male,University Student,None,None
6,Davies Trafficway,Samantha,Harvey,19,Wife,Married,Female,University Student,None,None
1,Bibi Manors,Rita,James,95,Head,Widowed,Female,"Retired Surveyor, insurance",None,Methodist
2,Bibi Manors,Lynne,Smith,31,Head,Single,Female,Press photographer,None,Christian
2,Bibi Manors,Gordon,Lambert,33,Partner,Single,Male,Naval architect,None,Christian
2,Bibi Manors,Edward,Smith,10,Son,NA,Male,Student,None,NA
3,Bibi Manors,Claire,Newton,66,Head,Married,Female,Engineering geologist,None,Christian
3,Bibi Manors,Guy,Newton,69,Husband,Married,Male,"Retired Programmer, applications",None,Christian
4,Bibi Manors,Marie,Moore,48,Head,Single,Female,"Surveyor, insurance",None,Catholic
4,Bibi Manors,Ryan,Jennings,54,Partner,Single,Male,Commercial/residential surveyor,None,None
4,Bibi Manors,Rebecca,Moore,16,Daughter,NA,Female,Student,None,NA
4,Bibi Manors,Raymond,Moore,16,Son,NA,Male,Student,None,NA
4,Bibi Manors,Stanley,Edwards-Moore,13,Son,NA,Male,Student,None,NA
5,Bibi Manors,Jade,Smith,47,Head,Married,Female,Insurance account manager,None,Christian
5,Bibi Manors,Richard,Smith,52,Husband,Married,Male,Astronomer,None,Christian
5,Bibi Manors,Philip,Smith,11,Son,NA,Male,Student,None,NA
5,Bibi Manors,Phillip,Smith,9,Son,NA,Male,Student,None,NA
6,Bibi Manors,Michelle,Howard,73,Head,Widowed,Female,Retired Broadcast engineer,None,Christian
6,Bibi Manors,Joe,Gibbs,8,Grandson,NA,Male,Student,None,NA
7,Bibi Manors,Chelsea,Jones,39,Head,Married,Female,Financial risk analyst,None,Catholic
7,Bibi Manors,Josh,Jones,42,Husband,Married,Male,"Engineer, manufacturing",None,Catholic
7,Bibi Manors,Judith,Jones,18,Daughter,Single,Female,Student,None,Catholic
8,Bibi Manors,Dorothy,Lowe,69,Head,Divorced,Female,Retired Special effects artist,None,Christian
9,Bibi Manors,Marian,Smith,56,Head,Married,Female,Government social research officer,None,None
9,Bibi Manors,Matthew,Smith,60,Husband,Married,Male,Claims inspector/assessor,None,None
9,Bibi Manors,Leslie,Smith,27,Son,Divorced,Male,Financial controller,None,None
9,Bibi Manors,Teresa,Smith,24,Daughter,Divorced,Female,Financial trader,None,None
9,Bibi Manors,Timothy,Smith,13,Son,NA,Male,Student,None,NA
10,Bibi Manors,Brian,Young,55,Head,Single,Male,"Therapist, occupational",None,None
10,Bibi Manors,Olivia,Lee,50,Partner,Single,Female,Bookseller,None,None
11,Bibi Manors,Jenna,Edwards,35,Head,Married,Female,Banker,None,Christian
11,Bibi Manors,John,Edwards,36,Husband,Married,Male,Unemployed,None,Christian
11,Bibi Manors,Megan,Edwards,16,Daughter,NA,Female,Student,None,NA
11,Bibi Manors,Francis,Edwards,16,Son,NA,Male,Student,None,NA
11,Bibi Manors,Clifford,Edwards,8,Son,NA,Male,Student,None,NA
12,Bibi Manors,Valerie,Hill,33,Head,Married,Female,Multimedia programmer,None,None
12,Bibi Manors,Jeffrey,Hill,36,Husband,Married,Male,"Administrator, local government",None,None
13,Bibi Manors,Alexander,Baker,23,Head,Married,Male,Veterinary surgeon,None,None
13,Bibi Manors,Marion,Baker,20,Wife,Married,Female,University Student,None,None
14,Bibi Manors,Natalie,Bates,50,Head,Single,Female,Unemployed,None,Christian
14,Bibi Manors,Lawrence,Bates,33,Son,Divorced,Male,Associate Professor,None,None
14,Bibi Manors,Nathan,Bates,33,Son,Single,Male,"Editor, magazine features",None,Christian
15,Bibi Manors,Kim,Mills,43,Head,Married,Female,Music tutor,None,Christian
15,Bibi Manors,Charlie,Mills,45,Husband,Married,Male,Graphic designer,None,Christian
15,Bibi Manors,Hilary,Mills,23,Daughter,Single,Female,Bookseller,None,Christian
15,Bibi Manors,Philip,Mills,20,Son,Single,Male,University Student,None,None
16,Bibi Manors,John,Wilkins,30,Head,Married,Male,Structural engineer,None,Methodist
16,Bibi Manors,Denise,Wilkins,27,Wife,Married,Female,Administrator,None,None
17,Bibi Manors,Eileen,Hudson,60,Head,Married,Female,"Development worker, community",None,Methodist
17,Bibi Manors,Craig,Hudson,59,Husband,Married,Male,Psychiatrist,None,Methodist
17,Bibi Manors,Georgina,Hudson,35,Daughter,Single,Female,Volunteer coordinator,None,None
18,Bibi Manors,Denis,Goddard,67,Head,Married,Male,Chief of Staff,None,Christian
18,Bibi Manors,Mandy,Goddard,65,Wife,Married,Female,"Teacher, music",None,Christian
19,Bibi Manors,Lucy,Clark,52,Head,Married,Female,Special educational needs teacher,None,None
19,Bibi Manors,Samuel,Clark,59,Husband,Married,Male,"Editor, film/video",None,None
